snapshot,frame,stamp,kf_id,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
21,633,1021.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
21,633,1021.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
21,633,1021.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
21,633,1021.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
21,633,1021.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
21,633,1021.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
21,633,1021.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
21,633,1021.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
21,633,1021.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
21,633,1021.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
21,633,1021.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
21,633,1021.100000,20,0,0.391115,0.131281,2.378093,0.000878,0.033808,-0.002460,0.999425
21,633,1021.100000,21,0,0.375497,0.138325,2.516580,0.000851,0.006821,-0.002205,0.999974
21,633,1021.100000,22,0,0.331646,0.143884,2.652787,-0.000597,-0.032722,-0.001067,0.999464
22,663,1022.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
22,663,1022.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
22,663,1022.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
22,663,1022.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
22,663,1022.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
22,663,1022.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
22,663,1022.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
22,663,1022.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
22,663,1022.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
22,663,1022.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
22,663,1022.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
22,663,1022.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
22,663,1022.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
22,663,1022.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
22,663,1022.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
22,663,1022.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
22,663,1022.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
22,663,1022.100000,20,0,0.391115,0.131281,2.378093,0.000878,0.033808,-0.002460,0.999425
22,663,1022.100000,21,0,0.375497,0.138325,2.516580,0.000851,0.006821,-0.002205,0.999974
22,663,1022.100000,22,0,0.331646,0.143884,2.652787,-0.000597,-0.032722,-0.001067,0.999464
22,663,1022.100000,23,0,0.273949,0.145342,2.765411,-0.001187,-0.086928,0.001449,0.996213
23,693,1023.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
23,693,1023.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
23,693,1023.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
23,693,1023.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
23,693,1023.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
23,693,1023.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
23,693,1023.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
23,693,1023.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
23,693,1023.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
23,693,1023.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
23,693,1023.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
23,693,1023.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
23,693,1023.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
23,693,1023.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
23,693,1023.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
23,693,1023.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
23,693,1023.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
23,693,1023.100000,20,0,0.391115,0.131281,2.378093,0.000878,0.033808,-0.002460,0.999425
23,693,1023.100000,21,0,0.375497,0.138325,2.516580,0.000851,0.006821,-0.002205,0.999974
23,693,1023.100000,22,0,0.331646,0.143884,2.652787,-0.000597,-0.032722,-0.001067,0.999464
23,693,1023.100000,23,0,0.273949,0.145342,2.765411,-0.001187,-0.086928,0.001449,0.996213
23,693,1023.100000,24,0,0.198945,0.161594,2.880725,0.000310,-0.140640,0.003762,0.990054
24,724,1024.133333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
24,724,1024.133333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
24,724,1024.133333,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
24,724,1024.133333,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
24,724,1024.133333,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
24,724,1024.133333,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
24,724,1024.133333,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
24,724,1024.133333,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
24,724,1024.133333,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
24,724,1024.133333,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
24,724,1024.133333,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
24,724,1024.133333,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
